id,content,prompt,A,B,C,D,E,answer
322,"Os holandeses desembarcaram em Pernambuco no ano de 1630, em nome da Companhia das Índias Ocidentais (WIC), e foram aos poucos ocupando a costa que ia da foz do Rio São Francisco ao Maranhão, no atual Nordeste brasileiro. Eles chegaram ao ponto de destruir Olinda, antiga sede da capitania de Duarte Coelho, para erguer no Recife uma pequena Amsterdã. ","Do ponto de vista econômico, as razões que levaram os holandeses a invadirem o nordeste da Colônia decorriam do fato de que essa região",era a mais importante área produtora de açúcar na América portuguesa.,possuía as mais ricas matas de pau-brasil no litoral das Américas.,contava com o porto mais estratégico para a navegação no Atlântico Sul.,representava o principal entreposto de escravos africanos para as Américas.,constituía um reduto de ricos comerciantes de açúcar de origem judaica.,A
323,"Não que Pelino fosse químico, longe disso; mas era sábio, era gramático. Ninguém escrevia em Tubiacanga que não levasse bordoada do Capitão Pelino, e mesmo quando se falava em algum homem notável lá no Rio, ele não deixava de dizer: “Não há dúvida! O homem tem talento, mas escreve: ‘um outro’, ‘de resto’…” E contraía os lábios como se tivesse engolido alguma cousa amarga. Toda a vila de Tubiacanga acostumou-se a respeitar o solene Pelino, que corrigia e emendava as maiores glórias nacionais. um sábio… Ao entardecer, depois de ler um pouco o Sotero, o Candido de Figueiredo ou o Castro Lopes, e de ter passado mais uma vez a tintura nos cabelos, o velho mestre-escola saía vagarosamente de casa, muito abotoado no seu paletó de brim mineiro, e encaminhava-se para a botica do Bastos a dar dous dedos de prosa. Conversar é um modo de dizer, porque era Pelino avaro de palavras, limitando-se tão-somente a ouvir. Quando, porém, dos lábios de alguém escapava a menor incorreção de linguagem, intervinha e emendava. “Eu asseguro, dizia o agente do Correio, que…” Por aí, o mestre-escola intervinha com mansuetude evangélica: “Não diga ‘asseguro’, Senhor Bernardes; em português é garanto”. E a conversa continuava depois da emenda, para ser de novo interrompida por uma outra. Por essas e outras, houve muitos palestradores que se afastaram, mas Pelino, indiferente, seguro dos seus deveres, continuava o seu apostolado de vernaculismo. ","Do ponto de vista linguístico, a defesa da norma-padrão pelo personagem caracteriza-se por",contestar o ensino de regras em detrimento do conteúdo das informações.,resgatar valores patrióticos relacionados às tradições da língua portuguesa.,adotar uma perspectiva complacente em relação aos desvios gramaticais.,invalidar os usos da língua pautados pelos preceitos da gramática normativa.,desconsiderar diferentes níveis de formalidade nas situações de comunicação.,E
324,"Um dos resquícios franceses na dança são os comandos proferidos pelo marcador da quadrilha. Seu papel é anunciar os próximos passos da coreografia. O abrasileiramento de termos franceses deu origem, por exemplo, ao saruê (soirée — reunião social noturna, ordem para todos se juntarem no centro do salão), anarriê (en arrière — para trás) e anavã (en avant — para frente). ",A característica apresentada dessa manifestação popular resulta do seguinte processo socio-histórico:,Massificação da arte erudita.,Rejeição de hábitos elitistas.,Laicização dos rituais religiosos.,Restauração dos costumes antigos.,Apropriação de práticas estrangeiras.,E
325,"TEXTO I A característica da oralidade radiofônica, então, seria aquela que propõe o diálogo com o ouvinte: a simplicidade, no sentido da escolha lexical; a concisão e coerência, que se traduzem em um texto curto, em linguagem coloquial e com organização direta; e o ritmo, marcado pelo locutor, que deve ser o mais natural (do diálogo). É esta organização que vai “reger” a veiculação da mensagem, seja ela interpretada ou de improviso, com objetivo de dar melodia à transmissão oral, dar emoção, personalidade ao relato de fato. ; TEXTO II A dois passos do paraíso A Rádio Atividade leva até vocês Mais um programa da séria série “Dedique uma canção a quem você ama” Eu tenho aqui em minhas mãos uma carta Uma carta d’uma ouvinte que nos escreve E assina com o singelo pseudônimo de “Mariposa Apaixonada de Guadalupe” Ela nos conta que no dia que seria o dia mais feliz de sua vida Arlindo Orlando, seu noivo Um caminhoneiro conhecido da pequena e Pacata cidade de Miracema do Norte Fugiu, desapareceu, escafedeu-se Oh! Arlindo Orlando volte Onde quer que você se encontre Volte para o seio de sua amada Ela espera ver aquele caminhão voltando De faróis baixos e para-choque duro… ","Em relação ao Texto I, que analisa a linguagem do rádio, o Texto II apresenta, em uma letra de canção,","estilo simples e marcado pela interlocução com o receptor, típico da comunicação radiofônica.","lirismo na abordagem do problema, o que o afasta de uma possível situação real de comunicação radiofônica.","marcação rítmica dos versos, o que evidencia o fato de o texto pertencer a uma modalidade de comunicação diferente da radiofônica.","direcionamento do texto a um ouvinte específico, divergindo da finalidade de comunicação do rádio, que é atingir as massas.","objetividade na linguagem caracterizada pela ocorrência rara de adjetivos, de modo a diminuir as marcas de subjetividade do locutor.",A
326,"Em Vitória (ES), no bairro Goiabeiras, encontramos as paneleiras, mulheres que são conhecidas pelos saberes/fazeres das tradicionais panelas de barro, ícones da culinária capixaba. A tradição passada de mãe para filha é de origem indígena e sofreu influência de outras etnias, como a afro e a luso. Dessa mistura, acredita-se que a fabricação das panelas de barro já tenha 400 anos. A fabricação das panelas de barro se dá em várias etapas, desde a obtenção de matéria-prima à confecção das panelas. As matérias-primas tradicionalmente utilizadas são provenientes do meio natural, como: argila, retirada do barreiro no Vale do Mulembá; madeira, atualmente proveniente das sobras da construção civil; e tinta, extraída da casca do manguezal, o popular mangue-vermelho. ",Uma característica de práticas tradicionais como a exemplificada no texto é vinculação entre os recursos do mundo natural e a,manutenção dos modos de vida.,conservação dos plantios da roça.,atualização do modelo de gestão.,participação na sociedade de consumo.,especialização nas etapas de produção.,A
327,"Gerente – Boa tarde. Em que eu posso ajudá-lo? Cliente – Estou interessado em financiamento para compra de veículo. Gerente – Nós dispomos de várias modalidades de crédito. O senhor é nosso cliente? Cliente – Sou Júlio César Fontoura, também sou funcionário do banco. Gerente – Julinho, é você, cara? Aqui é a Helena! Cê tá em Brasília? Pensei que você inda tivesse na agência de Uberlândia! Passa aqui pra gente conversar com calma. ","Na representação escrita da conversa telefônica entre a gerente do banco e o cliente, observa-se que a maneira de falar da gerente foi alterada de repente devido","à adequação de sua fala à conversa com um amigo, caracterizada pela informalidade",à iniciativa do cliente em se apresentar como funcionário do banco.,ao fato de ambos terem nascido em Uberlândia (Minas Gerais).,à intimidade forçada pelo cliente ao fornecer seu nome completo.,ao seu interesse profissional em financiar o veículo de Júlio.,A
328,"Será que as coisas pareceriam diferentes se, de fato, todas elas existissem apenas na sua mente — se tudo o que você julgasse ser o mundo externo real fosse apenas um sonho ou alucinação gigante, de que você jamais fosse despertar? Se assim fosse, então é claro que você nunca poderia despertar, como faz quando sonha, pois significaria que não há mundo “real” no qual despertar. Logo, não seria exatamente igual a um sonho ou alucinação normal. ",O texto confere visibilidade a uma doutrina filosófica contemporânea conhecida como:,"Personalismo, que vincula a realidade circundante aos domínios do pessoal.","Falsificacionismo, que estabelece ciclos de problemas para refutar a conjectura.","Falibilismo, que rejeita mecanismos mentais para sustentar uma crença inequívoca.","Idealismo, que nega a existência de objetivos independentemente do trabalho cognoscente.","Solipsismo, que reconhece limitações cognitivas para compreender uma experiência compartilhada.",E
329,"É preciso ressaltar que, de todas as capitanias brasileiras, Minas era a mais urbanizada. Não havia ali hegemonia de um ou dois grandes centros. A região era repleta de vilas e arraiais, grandes e pequenos, em cujas ruas muita gente circulava. ",As regiões da América portuguesa tiveram distintas lógicas de ocupação. Uma explicação para a especificidade da região descrita no texto está identificada na,apropriação cultural diante das influências externas.,produção manufatureira diante do exclusivo comercial.,insubordinação religiosa diante da hierarquia eclesiástica.,fiscalização estatal diante das particularidades econômicas.,autonomia administrativa diante das instituições metropolitanas.,D
330,"A rua Bem sei que, muitas vezes, O único remédio É adiar tudo. É adiar a sede, a fome, a viagem, A dívida, o divertimento, O pedido de emprego, ou a própria alegria. A esperança é também uma forma De contínuo adiamento. Sei que é preciso prestigiar a esperança, Numa sala de espera. Mas sei também que espera significa luta e não, apenas, Esperança sentada. Não abdicação diante da vida. A esperança Nunca é a forma burguesa, sentada e tranquila da espera. Nunca é figura de mulher Do quadro antigo. Sentada, dando milho aos pombos. ",O poema de Cassiano Ricardo insere-se no Modernismo brasileiro. O autor metaforiza a crença do sujeito lírico numa relação entre o homem e seu tempo marcada por,um olhar de resignação perante as dificuldades materiais e psicológicas da vida.,uma ideia de que a esperança do povo brasileiro está vinculada ao sofrimento e às privações. ,uma posição em que louva a esperança passiva para que ocorram mudanças sociais. ,um estado de inércia e de melancolia motivado pelo tempo passado “numa sala de espera”. ,uma atitude de perseverança e coragem no contexto de estagnação histórica e social.,E
331,"  Sabe-se que a posição em que o Sol nasce ou se põe no horizonte muda de acordo com a estação do ano. Olhando-se em direção ao poente, por exemplo, para um observador no Hemisfério Sul, o Sol se põe mais à direita no inverno do que no verão.     ",O fenômeno descrito deve-se à combinação de dois fatores: a inclinação do eixo de rotação terrestre e a, precessão do periélio terrestre.,translação da Terra em torno do Sol.,nutação do eixo de rotação da Terra.,precessão do eixo de rotação da Terra.,rotação da Terra em torno de seu próprio eixo.,B
332,"A classificação biológica proposta por Whittaker permite distinguir cinco grandes linhas evolutivas utilizando, como critérios de classificação, a organização celular e o modo de nutrição. Woese e seus colaboradores, com base na comparação das sequências que codificam o RNA ribossômico dos seres vivos, estabeleceram relações de ancestralidade entre os grupos e concluíram que os procariontes do reino Monera não eram um grupo coeso do ponto de vista evolutivo.   ",A diferença básica nas classificações citadas é que a mais recente se baseia fundamentalmente em,tipos de células.,aspectos ecológicos.,relações filogenéticas.,propriedades fisiológicas.,características morfológicas.,C
333,"À medida que se expira sobre uma solução de azul de bromotimol e hidróxido de sódio (NaOH), sua coloração azul característica vai se alterando. O azul de bromotimol é um indicador ácido-base que adquire cor azul em pH básico, verde em pH neutro e amarela em pH ácido. O gás carbônico (CO2) expirado reage com a água presente na solução (H2O), produzindo ácido carbônico (H2CO3). Este pode reagir com o NaOH da solução inicial, produzindo bicarbonato de sódio (NaHCO3): CO2+ H2O → H2CO3 H2CO3 + NaOH → NaHCO3+ H2O ", ,"A solução mudará de cor, de azul para verde, e, em seguida, de verde para amarelo. Com o acréscimo de ácido carbônico, o pH da solução irá reduzir até tornar-se neutro. Em seguida, um excesso de ácido carbônico tornará o pH da solução ácido.","A solução somente terá sua cor alterada de azul para amarelo, pois será formado um excesso de ácido carbônico no recipiente, o que reduzirá bruscamente o pH da solução.",A cor da solução não será alterada com o acréscimo de ácido carbônico. Isso porque o meio é inicialmente neutro e a presença de ácido carbônico não produzirá nenhuma mudança no pH da solução.,"A solução mudará de azul para verde e, em seguida, de verde para azul. Isso ocorrerá em função da neutralização de um meio inicialmente básico acompanhado de um aumento de pH na solução, à medida que ácido carbônico é adicionado ao meio.","A cor da solução alterará de azul para amarelo e, em seguida, de amarelo para verde. Esse comportamento é justificado pelo fato de o ácido carbônico reduzir bruscamente o pH da solução e depois ser neutralizado pelo restante de NaOH presente no meio.",A
334,"Author J. K. Rowling has announced plans to publish her first novel for adults, which will be “very different” from the Harry Potter books she is famous for. The book will be published worldwide although no date or title has yet been released. “The freedom to explore new territory is a gift that Harry’s sucess has brought me,” Rowling said. All the Potter books were published by Bloomsbury, but Rowling has chosen a new publisher for her debut into adult fiction. “Although I’ve enjoyed writing it every bit as much, my next book will be very different to the Harry Potter series, which has been published so brilliantly by Bloomsbury and my other publishers around the world,” she said, in a statement. “I’m delighted to have a second publishing home in Little, Brown, and a publishing team that will be a great partner in this new phase of my writing life.” ",23 February 2012 Last update at 16:53 GMT BBC World Service,informar que a famosa série Harry Potter será adaptada para o público adulto.,divulgar a publicação do romance por J. K. Rowling inteiramente para adultos.,promover a nova editora que irá publicar os próximos livros de J. K. Rowling.,informar que a autora de Harry Potter agora pretende escrever para adultos.,anunciar um novo livro da série Harry Potter publicado por editora diferente.,D
335,"Novas tecnologias Atualmente, prevalece na mídia um discurso de exaltação das novas tecnologias, principalmente aquelas ligadas às atividades de telecomunicações. Expressões frequentes como “o futuro já chegou”, “maravilhas tecnológicas” e “conexão total com o mundo” “fetichi – zam” novos produtos, transformando-os em objetos do desejo, de consumo obrigatório. Por esse motivo carregamos hoje nos bolsos, bolsas e mochilas o “futuro” tão festejado. Todavia, não podemos reduzir-nos a meras vítimas de um aparelho midiático perverso, ou de um aparelho capitalista controlador. Há perversão, certamente, e controle, sem sombra de dúvida. Entretanto, desenvolvemos uma relação simbiótica de dependência mútua com os veículos de comunicação, que se estreita a cada imagem compartilhada e a cada dossiê pessoal transformado em objeto público de entretenimento. Não mais como aqueles acorrentados na caverna de Platão, somos livres para nos aprisionar, por espontânea vontade, a esta relação sadomasoquista com as estruturas midiáticas, na qual tanto controlamos quanto somos controlados. ","Ao escrever um artigo de opinião, o produtor precisa criar uma base de orientação linguística que permita alcançar os leitores e convencê-los com relação ao ponto de vista defendido. Diante disso, nesse texto, a escolha das formas verbais em destaque objetiva","criar relação de subordinação entre leitor e autor, já que ambos usam as novas tecnologias.",enfatizar a probabilidade de que toda população brasileira esteja aprisionada às novas tecnologias.,"indicar, de forma clara, o ponto de vista de que hoje as pessoas são controladas pelas novas tecnologias.",tornar o leitor copartícipe do ponto de vista de que ele manipula as novas tecnologias e por elas é manipulado.,demonstrar ao leitor sua parcela de responsabilidade por deixar que as novas tecnologias controlem as pessoas.,D
336,"Os três tipos de poder representam três diversos tipos de motivações: no poder tradicional, o motivo da obediência é a crença na sacralidade da pessoa do soberano; no poder racional, o motivo da obediência deriva da crença na racionalidade do comportamento conforme a lei; no poder carismático, deriva da crença nos dotes extraordinários do chefe. ","  Os três tipos de poder representam três diversos tipos de motivações: no poder tradicional, o motivo da obediência  ",República Federalista Norte-Americana.,República Fascista Italiana no século XX.,Monarquia Teocrática do Egito Antigo.,Monarquia Absoluta Francesa no século XVII.,Monarquia Constitucional Brasileira no século XIX.,B
337,"Na sociologia e na literatura, o brasileiro foi por vezes tratado como cordial e hospitaleiro, mas não é isso o que acontece nas redes sociais: a democracia racial apregoada por Gilberto Freyre passa ao largo do que acontece diariamente nas comunidades virtuais do país. Levantamento inédito realizado pelo projeto Comunica que Muda […] mostra em números a intolerância do internauta tupiniquim. Entre abril e junho, um algoritmo vasculhou plataformas […] atrás de mensagens e textos sobre temas sensíveis, como racismo, posicionamento político e homofobia. Foram identificadas 393 284 menções, sendo 84% delas com abordagem negativa, de exposição do preconceito e da discriminação. ","Ao abordar a postura do internauta brasileiro mapeada por meio de uma pesquisa em plataformas virtuais, o texto",minimiza o alcance da comunicação digital.,refuta ideias preconcebidas sobre o brasileiro.,relativiza responsabilidades sobre a noção de respeito. ,exemplifica conceitos contidos na literatura e na sociologia.,expõe a ineficácia dos estudos para alterar tal comportamento.,B
338,"Nós adoraríamos dizer que somos perfeitos. Que somos infalíveis. Que não cometemos nem mesmo o menor deslize. E só não falamos isso por um pequeno detalhe: seria uma mentira. Aliás, em vez de usar a palavra “mentira”, como acabamos de fazer, poderíamos optar por um eufemismo. “Meia-verdade”, por exemplo, seria um termo muito menos agressivo. Mas nós não usamos esta palavra simplesmente porque não acreditamos que exista uma “Meia-verdade”. Para o Conar, Conselho Nacional de Autorregulamentação Publicitária, existem a verdade e a mentira. Existem a honestidade e a desonestidade. Absolutamente nada no meio. O Conar nasceu há 29 anos (viu só? não arredondamos para 30) com a missão de zelar pela ética na publicidade. Não fazemos isso porque somos bonzinhos (gostaríamos de dizer isso, mas, mais uma vez, seria mentira). Fazemos isso porque é a única forma da propaganda ter o máximo de credibilidade. E, cá entre nós, para que serviria a propaganda se o consumidor não acreditasse nela? Qualquer pessoa que se sinta enganada por uma peça publicitária pode fazer uma reclamação ao Conar. Ele analisa cuidadosamente todas as denúncias e, quando é o caso, aplica a punição. ","Considerando a autoria e a seleção lexical desse texto, bem como os argumentos nele mobilizados, constata-se que o objetivo do autor do texto é",informar os consumidores em geral sobre a atuação do Conar.,conscientizar publicitários do compromisso ético ao elaborar suas peças publicitárias.,"alertar chefes de família, para que eles fiscalizem o conteúdo das propagandas veiculadas pela mídia.",chamar a atenção de empresários e anunciantes em geral para suas responsabilidades ao contratarem publicitários sem ética.,"chamar a atenção de empresas para os efeitos nocivos que elas podem causar à sociedade, se compactuarem com propagandas enganosas.",A
339,"  A Inglaterra pedia lucros e recebia lucros. Tudo se transformava em lucro. As cidades tinham sua sujeira lucrativa, suas favelas lucrativas, sua fumaça lucrativa, sua desordem lucrativa, sua ignorância lucrativa, seu desespero lucrativo. As novas fábricas e os novos altos-fornos eram como as Pirâmides, mostrando mais a escravização do homem que seu poder.      ",Qual relação é estabelecida no texto entre os avanços tecnológicos ocorridos no contexto da Revolução Industrial Inglesa e as características das cidades industriais no início do século XIX?,"A facilidade em se estabelecerem relações lucrativas transformava as cidades em espaços privilegiados para a livre iniciativa, característica da nova sociedade capitalista.",O desenvolvimento de métodos de planejamento urbano aumentava a eficiência do trabalho industrial.,A construção de núcleos urbanos integrados por meios de transporte facilitava o deslocamento dos trabalhadores das periferias até as fábricas.,"A grandiosidade dos prédios onde se localizavam as fábricas revelava os avanços da engenharia e da arquitetura do período, transformando as cidades em locais de experimentação estética e artística.","O alto nível de exploração dos trabalhadores industriais ocasionava o surgimento de aglomerados urbanos marcados por péssimas condições de moradia, saúde e higiene.",E
340,"A escravidão não há de ser suprimida no Brasil por uma guerra servil, muito menos por insurreições ou atentados locais. Não deve sê-lo, tampouco, por uma guerra civil, como o foi nos Estados Unidos. Ela poderia desaparecer, talvez, depois de uma revolução, como aconteceu na França, sendo essa revolução obra exclusiva da população livre. É no Parlamento e não em fazendas ou quilombos do interior, nem nas ruas e praças das cidades, que se há de ganhar, ou perder, a causa da liberdade. ","  No texto, Joaquim Nabuco defende um projeto político sobre como deveria ocorrer o fim da escravidão no Brasil, no qual  ",copiava o modelo haitiano de emancipação negra.,incentivava a conquista de alforrias por meio de ações judiciais..,optava pela via legalista de libertação.,priorizava a negociação em torno das indenizações aos senhores.,antecipava a libertação paternalista dos cativos.,C
341,"De um lado, ancorados pela prática médica europeia, por outro, pela terapêutica indígena, com seu amplo uso da flora nativa, os jesuítas foram os reais iniciadores do exercício de uma medicina híbrida que se tornou marca do Brasil colonial. Alguns religiosos vinham de Portugal já versados nas artes de curar, mas a maioria aprendeu na prática diária as funções que deveriam ser atribuídas a um físico, cirurgião, barbeiro ou boticário. ","Conforme o texto, o que caracteriza a construção da prática medicinal descrita é a",adoção de rituais místicos.,rejeição dos dogmas cristãos.,superação da tradição popular.,imposição da farmacologia nativa.,conjugação de saberes empíricos.,E
342,"Você se preocupa com sua família, com seu trabalho e com sua casa.  E com você?    A mulher conquistou um espaço de destaque no ambiente profissional, além de cuidar da casa e do bem-estar da família. Acompanhada por essa mudança, também veio uma nova vida, com antigos hábitos tipicamente masculinos, como o estresse, a falta de tempo para se cuidar, o tabagismo e a maior incidência de obesidade e depressão. Isso aumentou muito os casos de infarto e doenças cardiovasculares. Elas já respondem por 30% do número total dos casos, que matam seis vezes mais do que o câncer de mama.    Cuide-se. Preocupe-se com sua saúde. Visite e incentive quem você gosta a visitar um cardiologista. ","Esse texto, publicado em uma revista, inicialmente aponta modificações ocorridas na sociedade e, em seguida,",descreve as diferentes atividades das mulheres hoje em dia.,estimula as leitoras a buscar sua realização na vida profissional.,alerta as mulheres para a possibilidade de problemas cardíacos.,informa as leitoras sobre mortes por câncer de mama e por infarto,valoriza as mulheres preocupadas com o bem-estar da família.,C
343,"Do ponto de vista fisiológico, anticorpos são moléculas proteicas produzidas e secretadas por células do sistema imune de mamíferos, conhecidas como linfócitos B. Reconhecem e atacam alvos moleculares específicos, os antígenos, presentes em agentes invasores, como, por exemplo, vírus, bactérias, fungos e células tumorais. Atualmente, algumas empresas brasileiras de biotecnologia vêm desenvolvendo anticorpos em laboratório. Um dos primeiros produtos é utilizado para detecção precoce da ferrugem asiática da soja, doença causada pelo fungo Phakopsora pachyrhizi, capaz de dizimar plantações. Há ainda a produção de kits para fins de pesquisa e diagnóstico de antígenos específicos de interesse para a saúde pública, como hepatite A, B e C, leptospirose e febre amarela. ","O desenvolvimento de anticorpos específicos por empresas de biotecnologia será benéfico para a saúde pública, porque proporcionará",a vacinação em massa da população. ,a cura de doenças por meio da terapia gênica. ,a fabricação de um medicamento que seja mutagênico para os vírus. ,o tratamento de doenças nos estágios iniciais de seu desenvolvimento. ,o desenvolvimento de um único fármaco que combata diversos parasitas.,D
344,"Sou um partidário da Comuna de Paris, que, por ter sido massacrada, sufocada no sangue pelos carrascos da reação monárquica e clerical, tornou-se ainda mais viva, mais poderosa na imaginação e no coração do proletariado da Europa; sou seu partidário sobretudo porque ela foi uma negação audaciosa, bem pronunciada, do Estado. ","A Comuna de Paris despertou a reação dos setores sociais mencionados no texto, porque",instituiu a participação política direta do povo.,consagrou o princípio do sufrágio universal.,encerrou o período de estabilidade política europeia.,simbolizou a vitória do ideário marxista.,representou a retomada dos valores do liberalismo,A
345,"Emagrecer sem exercício?  Hormônio aumenta a esperança de perder gordura sem sair do sofá. A solução viria em cápsulas.      O sonho dos sedentários ganhou novo aliado. Um estudo publicado na revista científica Nature, em janeiro, sugere que é possivel modificar a gordura corporal sem fazer exercício. Pesquisadores do Dana-Farber Cancer Institute e da Escola de Medicina de Harvard, nos EUA, isolaram em laboratório a irisina, hormônio naturalmente produzido pelas células musculares durante os exercícios aeróbicos, como caminhada, corrida ou pedalada. A substância foi aplicada em ratos e agiu como se eles tivessem se exercitado, inclusive com efeito protetor contra o diabetes.      O segredo foi a conversão de gordura branca – aquela que estoca energia inerte e estraga nossa silhueta – em marrom. Mais comum em bebês, e praticamente inexistente em adultos, esse tipo de gordura serve para nos aquecer. E, nesse processo, gasta uma energia tremenda. Como efeito colateral, afinaria nossa silhueta.      A expectativa é que, se o hormônio funcionar da mesma forma em humanos, surja em breve um novo medicamento para emagrecer. Mas ele estaria longe de substituir por completo os benefícios da atividade física. “Possivelmente existem muitos outros hormônios musculares liberados durante o exercício e ainda não descobertos”, diz o fisiologista Paul Coen, professor assistente da Universidade de Pittsburgh, nos EUA. A irisina não fortalece os músculos, por exemplo. E para ficar com aquele tríceps de fazer inveja só o levantamento de controle remoto não daria conta. ","Para convencer o leitor de que o exercício físico é importante, o autor usa a estratégia de divulgar que",a falta de exercício físico não emagrece e desenvolve doenças.,se trata de uma forma de transformar a gordura branca em marrom e de emagrecer.,a irisina é um hormônio que apenas é produzido com o exercício físico.,o exercício é uma forma de afinar a silhueta por eliminar a gordura branca.,se produzem outros hormônios e há outros benefícios com o exercício.,E
346,"O Recife fervilhava no começo da década de 1990, e os artistas trabalhavam para resgatar o prestígio da cultura pernambucana. Era preciso se inspirar, literalmente, nas raízes sobre as quais a cidade se construiu. Foi aí que, em 1992, com a publicação de um manifesto escrito pelo músico e jornalista Fred Zero Quatro, da banda Mundo Livre S/A, nasceu o manguebeat. O nome vem de “mangue”, vegetação típica da região, e “beat”, para representar as batidas e as influências musicais que o movimento abraçaria a partir dali. Era a hora e a vez de os caranguejos – aos quais os músicos recifenses gostavam de se comparar – mostrarem as caras: o maracatu e suas alfaias se misturaram com as batidas do hip-hop, as guitarras do rock, elementos eletrônicos e o sotaque recifense de Chico Science. A busca pelo novo rendeu uma perspectiva diferente do Brasil ao olhar para o Recife. A cidade deixou de ser o lugar apenas do frevo e do carnaval, transformando-se na ebulição musical que continua a acontecer mesmo após os 25 anos do lançamento do primeiro disco da Nação Zumbi, Da lama ao caos. ","Chico Science foi fundamental para a renovação da música pernambucana, fato que se deu pela",utilização de aparelhos musicais eletrônicos em lugar dos instrumentos tradicionais.,ocupação de espaços da natureza local para a produção de eventos musicais memoráveis.,"substituição de antigas práticas musicais, como o frevo, por melodias e harmonias inovadoras.",recuperação de composições tradicionais folclóricas e sua apresentação em grandes festivais.,"integração de referenciais culturais de diferentes origens, criando uma nova combinação estética.",E
347,"Com efeito, até a destruição de Cartago, o povo e o Senado romano governaram a República em harmonia e sem paixão, e não havia entre os cidadãos luta por glória ou dominação; o medo do inimigo mantinha a cidade no cumprimento do dever. Mas, assim que o medo desapareceu dos espíritos, introduziram-se os males pelos quais a prosperidade tem predileção, isto é, a libertinagem e o orgulho. ","O acontecimento histórico mencionado no texto de Salústio, datado de I a.C., manteve correspondência com o processo de",demarcação de terras públicas,imposição da escravidão por dívidas.,restrição da cidadania por parentesco.,restauração de instituições ancestrais.,expansão das fronteiras extrapeninsulares.,E
348,"Uma norma só deve pretender validez quando todos os que possam ser concernidos por ela cheguem (ou possam chegar), enquanto participantes de um discurso prático, a um acordo quanto à validade dessa norma. ","Segundo Habermas, a validez de uma norma deve ser estabelecida pelo(a):","liberdade humana, que consagra a vontade.","razão comunicativa, que requer um consenso.","conhecimento filosófico, que expressa a verdade.","técnica científica, que aumento o poder do homem. ","poder político, que se concentra no sistema partidário.",B
349,"Aspartame é um edulcorante artificial (adoçante dietético) que apresenta potencial adoçante 200 vezes maior que o açúcar comum, permitindo seu uso em pequenas quantidades. Muito usado pela indústria alimentícia, principalmente nos refrigerantes diet, tem valor energético que corresponde a 4 calorias/grama. É contraindicado a portadores de fenilcetonúria, uma doença genética rara que provoca o acúmulo da fenilalanina no organismo, causando retardo mental. O IDA (índice diário aceitável) desse adoçante é 40 mg/kg de massa corpórea. Disponível em: http://boaspraticasfarmaceuticas.blogspot.com. Acesso em: 27 fev. 2012 ","Com base nas informações do texto, a quantidade máxima recomendada de aspartame, em mol, que uma pessoa de 70 kg de massa corporal pode ingerir por dia é mais próxima de","1,3 × 10–4.","9,5 × 10–3.",4 × 10–2.,"2,6.",823.,B
350,"A Caatinga é o único bioma exclusivamente brasileiro, ocupando cerca de 7% a 10% do território nacional. Nesse ambiente seco, mesmo quando chove, não há acúmulo de água, pois o solo é raso e pedregoso. Assim, as plantas desse bioma possuem modificações em suas raízes, caules e folhas, que permitem melhor adaptação a esse ambiente, contra a perda de água e de nutrientes. Geralmente, seus caules são suculentos e suas folhas possuem forma de espinhos e cutículas altamente impermeáveis, que apresentam queda na estação seca. ","Considerando as adaptações nos órgãos vegetativos, a principal característica das raízes dessas plantas, que atribui sua maior adaptação à Caatinga, é o(a)",armazenamento de nutrientes por um sistema radicular aéreo.,fixação do vegetal ao solo por um sistema radicular do tipo tuberoso,fixação do vegetal ao substrato por um sistema radicular do tipo sugador.,absorção de água por um sistema radicular desenvolvido e profundo.,armazenamento de água do solo por um sistema radicular do tipo respiratório.,D
351,"Alguns sistemas de segurança incluem detectores de movimento. Nesses sensores, existe uma substância que se polariza na presença de radiação eletromagnética de certa região de frequência, gerando uma tensão que pode ser amplificada e empregada para efeito de controle. Quando uma pessoa se aproxima do sistema, a radiação emitida por seu corpo é detectada por esse tipo de sensor. ",A radiação captada por esse detector encontra-se na região de frequência,da luz visível.,do ultravioleta.,do infravermelho.,das micro-ondas.,das ondas longas de rádio.,C
352,"Lugar de mulher também é na oficina. Pelo menos nas oficinas dos cursos da área automotiva fornecidos pela Prefeitura, a presença feminina tem aumentado ano a ano. De cinco mulheres matriculadas em 2005, a quantidade saltou para 79 alunas inscritas neste ano nos cursos de mecânica automotiva, eletricidade veicular, injeção eletrônica, repintura e funilaria. A presença feminina nos cursos automotivos da Prefeitura — que são gratuitos — cresceu 1 480% nos últimos sete anos e tem aumentado ano a ano. ","Na produção de um texto, são feitas escolhas referentes a sua estrutura, que possibilitam inferir o objetivo do autor. Nesse sentido, no trecho apresentado, o enunciado “Lugar de mulher também é na oficina” corrobora o objetivo textual de",demonstrar que a situação das mulheres mudou na sociedade contemporânea.,defender a participação da mulher na sociedade atual.,comparar esse enunciado com outro: “lugar de mulher é na cozinha”.,criticar a presença de mulheres nas oficinas dos cursos da área automotiva.,distorcer o sentido da frase “lugar de mulher é na cozinha”,A
